id,departure city,discount,price,no of items,location,class,segment,sub-class,delivery type,RID,profit,delivery date,address code,departure state,placement date
33,Alexandria,0,155.35,13,South,fynota,Home Office,colddrinks,Standard Class,2583,0,01-01-2018,22304,Virginia,01-01-2018
34,Alexandria,0,16.68,2,South,kariox,Home Office,phone,Standard Class,2582,8.34,01-01-2018,22304,Virginia,01-01-2018
35,Alexandria,0,19.44,3,South,kariox,Home Office,phone,Standard Class,2581,9.3312,01-01-2018,22304,Virginia,01-01-2018
36,Alexandria,0,489.92,8,South,kariox,Home Office,laptop,Standard Class,2580,0,01-01-2018,22304,Virginia,01-01-2018
37,Alexandria,0,62.82,3,South,qexty,Home Office,shorts,Standard Class,2579,30.7818,01-01-2018,22304,Virginia,01-01-2018
38,Rapid City,0,10.68,2,Central,kariox,Corporate,headset,First Class,8150,5.0196,01-01-2018,57701,South Dakota,01-01-2018
39,Scottsdale,0.2,56.064,4,West,kariox,Consumer,phone,First Class,5464,19.6224,01-01-2018,85254,Arizona,01-01-2018
40,Los Angeles,0,19.3,2,West,qexty,Consumer,shorts,Standard Class,5738,5.79,01-01-2018,90049,California,01-01-2018
41,Springfield,0.2,64.864,4,West,kariox,Corporate,battery,Second Class,5365,6.4864,01-01-2018,97477,Oregon,01-01-2018
42,Laredo,0.2,31.2,3,Central,fynota,Consumer,chocolates,Standard Class,594,9.75,01-01-2018,78041,Texas,01-01-2018
43,Laredo,0.2,9.344,2,Central,kariox,Consumer,television,Standard Class,593,1.168,01-01-2018,78041,Texas,01-01-2018
44,Huntsville,0.8,10.43,7,Central,kariox,Consumer,headset,Standard Class,7662,-18.2525,01-01-2018,77340,Texas,01-01-2018
45,Huntsville,0.6,76.728,3,Central,qexty,Consumer,shorts,Standard Class,7661,-53.7096,01-01-2018,77340,Texas,01-01-2018
46,Henderson,0,6.54,1,South,kariox,Home Office,phone,Standard Class,7481,3.0084,01-01-2018,42420,Kentucky,01-01-2018
47,Henderson,0,31.12,4,South,kariox,Home Office,lighting,Standard Class,7480,0.3112,01-01-2018,42420,Kentucky,01-01-2018
48,Henderson,0,755.96,4,South,fynota,Home Office,colddrinks,Standard Class,7479,204.1092,01-01-2018,42420,Kentucky,01-01-2018
49,Henderson,0,391.98,2,South,fynota,Home Office,colddrinks,Standard Class,7478,113.6742,01-01-2018,42420,Kentucky,01-01-2018
50,Scottsdale,0.7,32.34,10,West,kariox,Consumer,headset,First Class,5463,-23.716,01-01-2018,85254,Arizona,01-01-2018
51,Henderson,0,609.98,2,South,kariox,Home Office,headset,Standard Class,7476,274.491,01-01-2018,42420,Kentucky,01-01-2018
52,Henderson,0,2573.82,9,South,qexty,Home Office,tshirts,Standard Class,7475,746.4078,01-01-2018,42420,Kentucky,01-01-2018
53,Athens,0,12.78,3,South,kariox,Corporate,television,First Class,7181,5.2398,01-01-2018,30605,Georgia,01-01-2018
54,Los Angeles,0,19.44,3,West,kariox,Consumer,phone,,5328,9.3312,01-01-2018,90049,California,01-01-2018
55,Philadelphia,0.2,19.536,3,East,kariox,Consumer,television,Standard Class,1760,4.884,01-01-2018,19143,Pennsylvania,01-01-2018
56,Naperville,0.8,3.54,2,Central,kariox,Home Office,headset,Standard Class,742,-5.487,01-01-2018,60540,Illinois,01-01-2018
57,Naperville,0.2,272.736,3,Central,kariox,Home Office,laptop,Standard Class,741,-64.7748,01-01-2018,60540,Illinois,01-01-2018
58,Naperville,0.2,11.784,3,Central,kariox,Home Office,tablet,Standard Class,740,4.2717,01-01-2018,60540,Illinois,01-01-2018
59,Springfield,0,2.89,1,South,kariox,Corporate,tablet,Standard Class,866,1.3583,01-01-2018,22153,Virginia,01-01-2018
60,Springfield,0,51.94,1,South,qexty,Corporate,shorts,Standard Class,867,21.2954,01-01-2018,22153,Virginia,01-01-2018
61,Henderson,0,5.48,2,South,kariox,Home Office,television,Standard Class,7477,1.4796,01-01-2018,42420,Kentucky,01-01-2018
62,Bossier City,0,11.36,2,South,kariox,Corporate,watch,Second Class,764,5.3392,01-01-2018,71111,Louisiana,01-01-2018
63,Dover,0,9.94,2,East,qexty,Consumer,shorts,First Class,717,3.0814,01-01-2018,19901,Delaware,01-01-2018
64,Philadelphia,0.2,30.072,3,East,kariox,Consumer,tablet,Second Class,974,10.1493,01-01-2018,19134,Pennsylvania,01-01-2018
65,Philadelphia,0.7,18.588,2,East,kariox,Consumer,headset,Second Class,973,-13.6312,01-01-2018,19134,Pennsylvania,01-01-2018
66,Philadelphia,0.4,124.2,3,East,fynota,Consumer,colddrinks,Second Class,972,-31.05,01-01-2018,19134,Pennsylvania,01-01-2018
67,Philadelphia,0.2,127.104,6,East,qexty,Consumer,shorts,Second Class,971,28.5984,01-01-2018,19134,Pennsylvania,01-01-2018
68,Philadelphia,0.5,61.96,4,East,qexty,Corporate,pants,First Class,6475,-53.2856,01-01-2018,19140,Pennsylvania,01-01-2018
69,Newark,0.7,3.438,2,East,kariox,Consumer,headset,Standard Class,9630,-2.5212,01-01-2018,43055,Ohio,01-01-2018
70,Newark,0.2,37.408,7,East,kariox,Consumer,phone,Standard Class,9629,13.0928,01-01-2018,43055,Ohio,01-01-2018
71,Roswell,0,149.95,5,South,fynota,Consumer,chocolates,First Class,1914,65.978,01-01-2018,30076,Georgia,01-01-2018
72,San Francisco,0.15,333.999,3,West,qexty,Consumer,pants,Standard Class,4939,3.9294,01-01-2018,94109,California,01-01-2018
73,San Francisco,0,1325.85,5,West,kariox,Consumer,laptop,Standard Class,4938,238.653,01-01-2018,94109,California,01-01-2018
74,Mount Pleasant,0,545.94,6,South,qexty,Consumer,tshirts,Second Class,2979,87.3504,01-01-2018,29464,South Carolina,01-01-2018
75,Bossier City,0,572.58,6,South,kariox,Corporate,laptop,Second Class,768,34.3548,01-01-2018,71111,Louisiana,01-01-2018
76,Bossier City,0,5.64,3,South,kariox,Corporate,headset,Second Class,767,2.7072,01-01-2018,71111,Louisiana,01-01-2018
77,Bossier City,0,646.74,6,South,fynota,Corporate,chocolates,Second Class,766,258.696,01-01-2018,71111,Louisiana,01-01-2018
78,San Francisco,0,19.9,5,West,kariox,Consumer,television,Standard Class,4940,6.567,01-01-2018,94109,California,01-01-2018
79,Bossier City,0,50.94,3,South,kariox,Corporate,watch,Second Class,765,25.47,01-01-2018,71111,Louisiana,01-01-2018
80,Concord,0.2,129.568,2,West,qexty,Consumer,tshirts,Standard Class,457,-24.294,01-02-2018,94521,California,01-02-2018
81,Dallas,0.8,7.96,2,Central,kariox,Consumer,battery,Standard Class,1334,-13.93,01-02-2018,75220,Texas,01-02-2018
82,Dallas,0.8,1.08,3,Central,kariox,Consumer,headset,Standard Class,1333,-1.728,01-02-2018,75220,Texas,01-02-2018
83,Seattle,0.2,21.36,5,West,kariox,Corporate,headset,Standard Class,7438,7.209,01-02-2018,98105,Washington,01-02-2018
84,Houston,0.2,16.176,3,Central,kariox,Consumer,phone,Second Class,5467,6.066,01-02-2018,77095,Texas,01-02-2018
85,Seattle,0,81.96,2,West,kariox,Corporate,battery,Standard Class,9763,22.9488,01-02-2018,98103,Washington,01-02-2018
86,Seattle,0,239.97,3,West,fynota,Corporate,chocolates,Standard Class,9762,86.3892,01-02-2018,98103,Washington,01-02-2018
87,Chicago,0.2,54.208,14,Central,kariox,Consumer,television,Standard Class,9516,8.8088,01-02-2018,60653,Illinois,01-02-2018
88,Seattle,0,238.62,2,West,kariox,Corporate,charger,Standard Class,9764,4.7724,01-02-2018,98103,Washington,01-02-2018
89,Lubbock,0.6,25.16,5,Central,qexty,Consumer,shorts,Same Day,6082,-11.322,01-02-2018,79424,Texas,01-02-2018
90,Medford,0.2,32.896,4,West,kariox,Consumer,phone,Standard Class,5512,11.1024,01-03-2018,97504,Oregon,01-02-2018
91,Richmond,0,62.31,3,Central,fynota,Corporate,chocolates,Standard Class,4521,22.4316,01-02-2018,47374,Indiana,01-02-2018
92,Richmond,0,20.32,4,Central,qexty,Corporate,shorts,Standard Class,4522,6.9088,01-02-2018,47374,Indiana,01-02-2018
93,Los Angeles,0,12.96,2,West,kariox,Home Office,phone,Standard Class,8504,6.2208,01-02-2018,90049,California,01-02-2018
94,Woodstock,0.8,8.85,5,Central,kariox,Consumer,headset,Standard Class,2883,-13.7175,01-02-2018,60098,Illinois,01-02-2018
95,Moreno Valley,0,19.44,3,West,kariox,Consumer,phone,First Class,7611,9.3312,01-02-2018,92553,California,01-02-2018
96,El Paso,0.2,6.936,3,Central,kariox,Home Office,tablet,Standard Class,6530,2.3409,01-02-2018,79907,Texas,01-02-2018
97,El Paso,0.8,4.428,3,Central,kariox,Home Office,headset,Standard Class,6531,-6.8634,01-02-2018,79907,Texas,01-02-2018
98,Medford,0.2,22.776,3,West,kariox,Consumer,phone,Standard Class,5513,7.6869,01-03-2018,97504,Oregon,01-02-2018
99,Columbus,0.2,19.456,4,East,kariox,Consumer,television,First Class,9464,3.4048,01-03-2018,43229,Ohio,01-02-2018
100,Columbia,0,64.96,2,Central,kariox,Consumer,laptop,Second Class,9260,2.5984,01-02-2018,65203,Missouri,01-02-2018
101,Arlington,0.2,12.624,2,Central,kariox,Consumer,laptop,Standard Class,8223,-2.5248,01-02-2018,76017,Texas,01-02-2018
102,Columbia,0,51.9,3,Central,kariox,Consumer,headset,Second Class,9259,24.393,01-02-2018,65203,Missouri,01-02-2018
103,Columbia,0,332.94,3,Central,qexty,Consumer,shorts,Second Class,9258,53.2704,01-02-2018,65203,Missouri,01-02-2018
104,Columbia,0,9.64,2,Central,kariox,Consumer,headset,Second Class,9257,4.4344,01-02-2018,65203,Missouri,01-02-2018
105,Green Bay,0,468.9,6,Central,fynota,Consumer,chocolates,First Class,541,206.316,01-02-2018,54302,Wisconsin,01-02-2018
106,San Diego,0,12.35,5,West,kariox,Home Office,lighting,Standard Class,1704,5.8045,01-02-2018,92037,California,01-02-2018
107,Saint Petersburg,0.2,180.96,5,South,fynota,Consumer,colddrinks,Standard Class,9139,13.572,01-02-2018,33710,Florida,01-02-2018
108,Seattle,0.2,83.84,2,West,kariox,Consumer,headset,Second Class,1518,27.248,01-02-2018,98105,Washington,01-02-2018
109,Seattle,0.2,13.272,3,West,kariox,Consumer,headset,Second Class,1519,4.3134,01-02-2018,98105,Washington,01-02-2018
110,San Diego,0.2,82.896,3,West,kariox,Home Office,headset,Standard Class,1544,29.0136,01-02-2018,92024,California,01-02-2018
111,San Diego,0,34.24,4,West,kariox,Home Office,phone,Standard Class,1545,16.0928,01-02-2018,92024,California,01-02-2018
112,Escondido,0.2,17.248,2,West,kariox,Corporate,headset,Second Class,8585,6.0368,01-02-2018,92025,California,01-02-2018
113,Chesapeake,0,15,4,South,kariox,Corporate,tablet,First Class,1998,7.2,01-02-2018,23320,Virginia,01-02-2018
114,Chesapeake,0,161.61,1,South,fynota,Corporate,colddrinks,First Class,1999,42.0186,01-02-2018,23320,Virginia,01-02-2018
115,Saint Petersburg,0.7,18.336,2,South,kariox,Consumer,headset,Standard Class,9138,-12.224,01-02-2018,33710,Florida,01-02-2018
116,Romeoville,0.8,8.952,2,Central,kariox,Consumer,headset,Second Class,8981,-14.7708,01-02-2018,60441,Illinois,01-02-2018
117,Chesapeake,0,144.95,5,South,fynota,Corporate,colddrinks,First Class,2000,42.0355,01-02-2018,23320,Virginia,01-02-2018
118,Columbia,0,14.94,3,Central,kariox,Consumer,tablet,Second Class,9256,6.8724,01-02-2018,65203,Missouri,01-02-2018
119,Chesapeake,0,17.46,2,South,kariox,Consumer,headset,Standard Class,5633,8.2062,01-02-2018,23320,Virginia,01-02-2018
120,Chesapeake,0,1256.22,6,South,qexty,Consumer,hoodies,Standard Class,5632,75.3732,01-02-2018,23320,Virginia,01-02-2018
121,Columbia,0,60.89,1,Central,qexty,Consumer,tshirts,Second Class,9255,15.2225,01-02-2018,65203,Missouri,01-02-2018
122,North Las Vegas,0,14.56,2,West,qexty,Home Office,shorts,First Class,9267,5.5328,01-02-2018,89031,Nevada,01-02-2018
123,New York City,0,64.96,4,East,kariox,Corporate,laptop,Second Class,8736,9.744,01-02-2018,10024,New York,01-02-2018
124,Linden,0,115.36,7,East,fynota,Corporate,chocolates,Standard Class,850,49.6048,01-02-2018,7036,New Jersey,01-02-2018
125,Chesapeake,0,234.45,3,South,fynota,Consumer,chocolates,Standard Class,5631,103.158,01-02-2018,23320,Virginia,01-02-2018
126,Lakeland,0.2,20.016,3,South,qexty,Corporate,shorts,First Class,6166,5.5044,01-03-2018,33801,Florida,01-03-2018
127,Springfield,0,14.4,5,South,kariox,Corporate,tablet,Standard Class,7585,6.624,01-03-2018,22153,Virginia,01-03-2018
128,Lakeland,0.2,170.24,2,South,fynota,Corporate,chocolates,First Class,6167,53.2,01-03-2018,33801,Florida,01-03-2018
129,Hamilton,0.2,7.408,2,East,kariox,Consumer,television,Standard Class,196,1.2038,01-03-2018,45011,Ohio,01-03-2018
130,Hamilton,0.2,6.048,3,East,kariox,Consumer,television,Standard Class,197,1.5876,01-03-2018,45011,Ohio,01-03-2018
131,Asheville,0.2,16.272,1,South,kariox,Corporate,laptop,Standard Class,5461,-3.8646,01-03-2018,28806,North Carolina,01-03-2018
132,Springfield,0,3499.93,7,South,fynota,Corporate,colddrinks,Standard Class,7584,909.9818,01-03-2018,22153,Virginia,01-03-2018
133,Springfield,0,122.97,3,South,kariox,Corporate,phone,Standard Class,7586,60.2553,01-03-2018,22153,Virginia,01-03-2018
134,Knoxville,0.2,218.376,3,South,qexty,Consumer,tshirts,Standard Class,8346,-10.9188,01-03-2018,37918,Tennessee,01-03-2018
135,Springfield,0,122.94,3,South,kariox,Corporate,headset,Standard Class,7588,59.0112,01-03-2018,22153,Virginia,01-03-2018
136,Knoxville,0.2,59.2,5,South,kariox,Consumer,tablet,Standard Class,8344,22.2,01-03-2018,37918,Tennessee,01-03-2018
137,Knoxville,0.2,32.952,3,South,qexty,Consumer,shorts,Standard Class,8345,6.5904,01-03-2018,37918,Tennessee,01-03-2018
138,Greensboro,0.7,7.644,4,South,kariox,Consumer,headset,Standard Class,1768,-5.8604,01-03-2018,27405,North Carolina,01-03-2018
139,Greensboro,0.7,51.465,5,South,kariox,Consumer,headset,Standard Class,1769,-39.4565,01-03-2018,27405,North Carolina,01-03-2018
140,Tucson,0.2,74.352,3,West,kariox,Corporate,phone,Standard Class,2871,23.235,01-03-2018,85705,Arizona,01-03-2018
141,Lakeland,0.2,4.992,3,South,qexty,Corporate,shorts,First Class,6165,1.3728,01-03-2018,33801,Florida,01-03-2018
142,Springfield,0,9.32,4,South,kariox,Corporate,television,Standard Class,7587,2.7028,01-03-2018,22153,Virginia,01-03-2018
143,Lakeland,0.7,33.57,5,South,kariox,Corporate,headset,First Class,6164,-25.737,01-03-2018,33801,Florida,01-03-2018
144,Jacksonville,0.2,8.016,3,South,kariox,Home Office,television,Standard Class,2700,1.002,01-03-2018,32216,Florida,01-03-2018
145,Lakeland,0.2,11.808,4,South,kariox,Corporate,tablet,First Class,6162,3.9852,01-03-2018,33801,Florida,01-03-2018
146,Jackson,0,12.96,2,South,kariox,Corporate,phone,Standard Class,7430,6.3504,01-03-2018,39212,Mississippi,01-03-2018
147,Jackson,0,16,4,South,kariox,Corporate,phone,Standard Class,7431,7.68,01-03-2018,39212,Mississippi,01-03-2018
148,Jackson,0,32.67,3,South,kariox,Corporate,battery,Standard Class,7432,8.4942,01-03-2018,39212,Mississippi,01-03-2018
149,Philadelphia,0.2,126.624,6,East,kariox,Corporate,phone,Second Class,8011,41.1528,01-03-2018,19134,Pennsylvania,01-03-2018
150,Jacksonville,0.5,821.3,4,South,fynota,Home Office,sweets,Standard Class,2697,-16.426,01-03-2018,32216,Florida,01-03-2018
151,Jacksonville,0.5,22638.48,6,South,fynota,Home Office,sweets,Standard Class,2698,-1811.0784,01-03-2018,32216,Florida,01-03-2018
152,Jacksonville,0.2,21.376,4,South,kariox,Home Office,phone,Standard Class,2699,7.4816,01-03-2018,32216,Florida,01-03-2018
153,Lakeland,0.2,26.16,3,South,kariox,Corporate,laptop,First Class,6163,1.962,01-03-2018,33801,Florida,01-03-2018
154,Tucson,0.2,314.352,3,West,qexty,Corporate,tshirts,Standard Class,2872,-35.3646,01-03-2018,85705,Arizona,01-03-2018
155,Jacksonville,0.2,18.936,3,South,kariox,Home Office,lighting,Standard Class,2702,5.9175,01-03-2018,32216,Florida,01-03-2018
156,Jacksonville,0.2,122.352,3,South,qexty,Home Office,shorts,Standard Class,2703,15.294,01-03-2018,32216,Florida,01-03-2018
157,San Francisco,0.15,1198.33,10,West,qexty,Home Office,pants,Second Class,6152,70.49,01-03-2018,94110,California,01-03-2018
158,Burbank,0,111,2,West,qexty,Home Office,shorts,Standard Class,7328,14.43,01-03-2018,91505,California,01-03-2018
159,Burbank,0.2,1279.968,4,West,fynota,Home Office,sweets,Standard Class,7329,415.9896,01-03-2018,91505,California,01-03-2018
160,Burbank,0,1856.19,7,West,kariox,Home Office,laptop,Standard Class,7330,334.1142,01-03-2018,91505,California,01-03-2018
161,Lakeland,0.2,323.976,3,South,fynota,Corporate,colddrinks,First Class,6161,28.3479,01-03-2018,33801,Florida,01-03-2018
162,Jacksonville,0.2,30.768,2,South,qexty,Home Office,shorts,Standard Class,2701,8.0766,01-03-2018,32216,Florida,01-03-2018
163,Portage,0,16.28,2,Central,kariox,Consumer,television,Same Day,4341,6.512,01-03-2018,46368,Indiana,01-03-2018
164,Los Angeles,0,66.3,3,West,fynota,Corporate,chocolates,Standard Class,4245,8.619,01-03-2018,90036,California,01-03-2018
165,Los Angeles,0.2,604.752,6,West,fynota,Consumer,colddrinks,Second Class,3556,37.797,01-03-2018,90036,California,01-03-2018
166,Seattle,0,44.4,3,West,kariox,Corporate,tablet,Standard Class,5285,22.2,01-04-2018,98105,Washington,01-03-2018
167,New York City,0,10.5,5,East,kariox,Corporate,television,First Class,5954,2.94,01-03-2018,10009,New York,01-03-2018
168,San Francisco,0.15,205.666,2,West,qexty,Consumer,pants,Standard Class,6139,-12.098,01-04-2018,94110,California,01-03-2018
169,Brownsville,0.2,335.72,5,Central,kariox,Home Office,watch,First Class,7630,113.3055,01-04-2018,78521,Texas,01-03-2018
170,Brownsville,0.2,251.944,7,Central,fynota,Home Office,colddrinks,First Class,7631,88.1804,01-04-2018,78521,Texas,01-03-2018
171,Brownsville,0.3,127.302,7,Central,qexty,Home Office,tshirts,First Class,7632,-9.093,01-04-2018,78521,Texas,01-03-2018
172,Apple Valley,0,129.3,2,Central,kariox,Consumer,laptop,Standard Class,8431,6.465,01-04-2018,55124,Minnesota,01-03-2018
173,Seattle,0,15.84,3,West,kariox,Corporate,laptop,Standard Class,5284,0,01-04-2018,98105,Washington,01-03-2018
174,San Francisco,0.2,673.568,2,West,kariox,Consumer,headset,Standard Class,2230,252.588,01-04-2018,94122,California,01-03-2018
175,Philadelphia,0.7,0.852,1,East,kariox,Consumer,headset,Same Day,4712,-0.5964,01-03-2018,19120,Pennsylvania,01-03-2018
176,Chicago,0.8,8.134,7,Central,kariox,Consumer,headset,Standard Class,5049,-13.8278,01-04-2018,60610,Illinois,01-03-2018
177,Chicago,0.2,79.984,2,Central,fynota,Consumer,chocolates,Standard Class,5050,13.9972,01-04-2018,60610,Illinois,01-03-2018
178,Miami,0.7,1.869,1,South,kariox,Corporate,headset,Standard Class,5480,-1.3083,01-04-2018,33180,Florida,01-03-2018
179,Tampa,0.2,1125.488,7,South,qexty,Consumer,tshirts,Same Day,9566,98.4802,01-03-2018,33614,Florida,01-03-2018
180,Tampa,0.7,12.645,5,South,kariox,Consumer,headset,Same Day,9567,-10.116,01-03-2018,33614,Florida,01-03-2018
181,Tampa,0.2,4.032,2,South,kariox,Consumer,television,Same Day,9568,1.0584,01-03-2018,33614,Florida,01-03-2018
182,San Francisco,0,52.98,2,West,kariox,Consumer,battery,Standard Class,2231,14.8344,01-04-2018,94122,California,01-03-2018
183,Los Angeles,0,330.4,2,West,kariox,Consumer,laptop,Second Class,3555,85.904,01-03-2018,90036,California,01-03-2018
184,Long Beach,0,49.65,5,East,kariox,Consumer,television,Standard Class,2897,20.853,01-04-2018,11561,New York,01-03-2018
185,Springfield,0.4,330.588,1,East,qexty,Home Office,hoodies,Standard Class,9900,-143.2548,01-04-2018,45503,Ohio,01-03-2018
186,Delray Beach,0.2,9.912,3,South,kariox,Consumer,tablet,First Class,6591,3.2214,01-03-2018,33445,Florida,01-03-2018
187,New York City,0,24.9,5,East,kariox,Consumer,phone,Standard Class,4480,11.703,01-03-2018,10024,New York,01-03-2018
188,Fresno,0,40.48,2,West,qexty,Consumer,shorts,Second Class,7802,14.5728,01-03-2018,93727,California,01-03-2018
189,New York City,0.1,366.786,7,East,qexty,Consumer,tshirts,Standard Class,2433,65.2064,01-04-2018,10009,New York,01-03-2018
190,San Francisco,0,6.56,2,West,kariox,Consumer,television,Standard Class,9307,1.9024,01-03-2018,94110,California,01-03-2018
191,San Francisco,0,14.88,2,West,kariox,Consumer,television,Standard Class,9308,3.72,01-03-2018,94110,California,01-03-2018
192,San Francisco,0,45.48,4,West,fynota,Consumer,chocolates,Standard Class,9309,15.918,01-03-2018,94110,California,01-03-2018
193,Plano,0.3,890.841,3,Central,qexty,Consumer,hoodies,Standard Class,7306,-152.7156,01-04-2018,75023,Texas,01-03-2018
194,San Francisco,0,25.44,6,West,kariox,Consumer,television,Standard Class,9310,9.9216,01-03-2018,94110,California,01-03-2018
195,San Francisco,0,3.36,2,West,kariox,Corporate,television,Second Class,9052,0.84,01-03-2018,94122,California,01-03-2018
196,San Francisco,0.2,27.936,4,West,kariox,Corporate,headset,Second Class,9053,9.4284,01-03-2018,94122,California,01-03-2018
197,San Francisco,0.2,28.784,2,West,fynota,Corporate,colddrinks,Second Class,9054,2.8784,01-03-2018,94122,California,01-03-2018
198,Pomona,0,18.75,5,West,kariox,Consumer,tablet,Second Class,9660,9,01-03-2018,91767,California,01-03-2018
199,Des Moines,0,6.12,3,Central,kariox,Consumer,watch,Standard Class,7840,2.8764,01-04-2018,50315,Iowa,01-03-2018
200,Des Moines,0,1184.72,4,Central,qexty,Consumer,hoodies,Standard Class,7841,106.6248,01-04-2018,50315,Iowa,01-03-2018
201,Albuquerque,0.2,302.376,3,West,fynota,Home Office,colddrinks,Standard Class,8464,22.6782,01-04-2018,87105,New Mexico,01-03-2018
202,Jackson,0,30.44,2,South,kariox,Corporate,headset,Standard Class,7429,14.9156,01-03-2018,39212,Mississippi,01-03-2018
203,Jackson,0,11.43,3,South,kariox,Corporate,headset,Standard Class,7428,5.3721,01-03-2018,39212,Mississippi,01-03-2018
204,Huntington Beach,0,10.56,2,West,kariox,Corporate,phone,Standard Class,1891,4.752,01-03-2018,92646,California,01-03-2018
205,Dallas,0.2,5.184,1,Central,kariox,Consumer,phone,Same Day,5102,1.8792,01-03-2018,75217,Texas,01-03-2018
206,Columbus,0.2,44.672,8,East,kariox,Corporate,laptop,Standard Class,7249,-10.0512,01-03-2018,43229,Ohio,01-03-2018
207,Houston,0.8,176.772,3,Central,kariox,Consumer,battery,Standard Class,7349,-459.6072,01-03-2018,77095,Texas,01-03-2018
208,San Diego,0.2,626.352,3,West,qexty,Consumer,hoodies,Standard Class,8712,-23.4882,01-03-2018,92037,California,01-03-2018
209,Columbia,0,354.9,5,South,kariox,Consumer,laptop,Same Day,1565,17.745,01-03-2018,29203,South Carolina,01-03-2018
